Date,EAFE ex UK
2015-08,4844.09896201619
2015-09,4590.473022263875
2015-10,4955.489587178038
2015-11,4887.49760999958
2015-12,4852.916911606428
2016-01,4487.972532732791
2016-02,4395.144556703847
2016-03,4698.98848972457
2016-04,4828.664649907941
2016-05,4779.8574823759045
2016-06,4622.091018405583
2016-07,4882.198924558156
2016-08,4884.603354445625
2016-09,4946.735442250554
2016-10,4880.248887381775
2016-11,4758.351413067221
2016-12,4913.455450190794
2017-01,5073.733402372924
2017-02,5139.910942844524
2017-03,5293.686253408724
2017-04,5433.743022
2017-05,5621.97729
2017-06,5633.733511
2017-07,5799.905952
2017-08,5806.890286
2017-09,5941.085152
2017-10,6043.020869
2017-11,6118.525061
2017-12,6173.97051
2018-01,6509.978375
2018-02,6241.873399
2018-03,6110.788826
2018-04,6217.823325199189
2018-05,6059.231059083413
2018-06,5981.829866926715
2018-07,6149.884083400136
2018-08,6060.885977104333
2018-09,6102.333337894384
2018-10,5601.058157352922
2018-11,5612.415219862174
2018-12,5327.436277472235
2019-01,5671.998155619191
2019-02,5806.830695266671
2019-03,5838.357952164898
2019-04,6009.196695038145
2019-05,5735.3616747484375
2019-06,6086.6162627555095
2019-07,6015.869510660809
2019-08,5885.100224268529
2019-09,6038.978033667544
2019-10,6265.264557743317
2019-11,6328.883749438906
2019-12,6511.356265264938
2020-01,6397.179688296329
2020-02,5854.566739178528
2020-03,5101.329592158447
2020-04,5442.878790898077
2020-05,5711.467005559497
2020-06,5924.695622196377
2020-07,6071.775240561746
2020-08,6399.5636062136955
2020-09,6257.342777145586
2020-10,6017.611634118453
2020-11,6938.955934353412
2020-12,7252.3839440303245
2021-01,7165.337550913055
2021-02,7310.083482590864
2021-03,7472.607772231549
2021-04,7680.339290255632
2021-05,7921.075036477238
2021-06,7849.15560913937
2021-07,7905.983745374065
2021-08,8057.604278458889
2021-09,7812.08880836189
2021-10,7983.83405756563
2021-11,7621.874014587635
2021-12,7984.36337742393
2022-01,7519.713563793151
2022-02,7352.650161983415
2022-03,7406.693792344968
2022-04,6890.48136114855
2022-05,6929.650619680565
2022-06,6278.053033611032
2022-07,6605.736815574235
2022-08,6302.893217747067
2022-09,5707.335437265265
2022-10,6007.372147803998
2022-11,6689.606448962642
2022-12,6700.73886771473
2023-01,7262.464330432598
2023-02,7080.987876586067
2023-03,7295.956109875367
2023-04,7470.394996797837
2023-05,7185.366842695121
2023-06,7521.065422987198
2023-07,7761.774590828267
